Cluster;Reproducibility;Log2.Abundance.;Average.Spearmann.Correlation.Coefficient.between.Replicates;PearsonCorrCoeff_to_ME;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F1415;F1617;F18;Maximum.Fraction;Average.Fraction;No.of.peaks;Peak.fractions;Feature.Type;Feature.Subtype;Amino.Acid.Sequence.Length;locustag_ID;locustag;genename_1;TU;annotation..cyanobase.;GO.NAME;GOT_DNA_RNA_Nucleotide;Gene_ID_IndMode;location
10;All Replicates;3.869;0.217;-1;0;0;0.002;0.056;0.06;0.137;0.15;0.051;0.067;0.07;0.055;0.058;0.07;0.048;0.029;0.147;7;10.1391;4;7, 10, 13, 18;RNA;transcript;NA;slr1517;slr1517;leuB;TU1650;3-isopropylmalate dehydrogenase;transcript;;TU1650 (slr1517) - Transcr Unit;Chr
10;All Replicates;5.965;0.802;0.991;0;0;0.002;0.018;0.077;0.211;0.307;0.112;0.06;0.055;0.059;0.034;0.02;0.02;0.013;0.013;7;7.9204;1;7;RNA;mRNA;NA;sll1470;sll1470;leuC;TU3584;3-isopropylmalate dehydratase large subunit;3-isopropylmalate dehydratase activity, leucine biosynthetic process, 4 iron, 4 sulfur cluster binding, metal ion binding, lyase activity, branched-chain amino acid biosynthetic process, cellular amino acid biosynthetic process, iron-sulfur cluster binding,;;leuC/sll1470 (mRNA / CDS) - TU3584;Chr
5;All Replicates;30.373;0.89;0.969;0.012;0.029;0.143;0.429;0.266;0.08;0.026;0.007;0.004;0.002;0;0;0;0;0;0.001;4;4.3526;1;4;Protein;Protein;468;sll1470;sll1470;leuC;TU3584;3-isopropylmalate dehydratase large subunit;3-isopropylmalate dehydratase activity, leucine biosynthetic process, 4 iron, 4 sulfur cluster binding, metal ion binding, lyase activity, branched-chain amino acid biosynthetic process, cellular amino acid biosynthetic process, iron-sulfur cluster binding,;No_GO;leuC/sll1470 (Protein) - TU3584;Chr
10;All Replicates;6.089;0.771;-1;0;0;0.002;0.027;0.074;0.214;0.297;0.112;0.059;0.052;0.058;0.035;0.02;0.02;0.013;0.016;7;7.9068;1;7;RNA;transcript;NA;sll1470;sll1470;leuC;TU3584;3-isopropylmalate dehydratase large subunit;transcript;;TU3584 (sll1470) - Transcr Unit;Chr
10;All Replicates;2.164;0.331;0.767;0.001;0;0.005;0.153;0.018;0.192;0.178;0.125;0.067;0.041;0.037;0.054;0.008;0.029;0.016;0.078;6;8.3591;3;4, 6, 18;RNA;3UTR;NA;sll1470-3UTR;sll1470;leuC;TU3584;3-isopropylmalate dehydratase large subunit;3-isopropylmalate dehydratase activity, leucine biosynthetic process, 4 iron, 4 sulfur cluster binding, metal ion binding, lyase activity, branched-chain amino acid biosynthetic process, cellular amino acid biosynthetic process, iron-sulfur cluster binding,;;sll1470-3UTR (3'UTR) - TU3584;Chr
10;All Replicates;3.683;0.648;0.938;0;0;0.002;0.016;0.114;0.18;0.192;0.115;0.047;0.063;0.068;0.069;0.085;0.021;0.027;0;7;8.4664;2;7, 13;RNA;mRNA;NA;sll1444;sll1444;leuD;TU1962;3-isopropylmalate dehydratase small subunit;3-isopropylmalate dehydratase activity, leucine biosynthetic process, 3-isopropylmalate dehydratase complex, cellular amino acid biosynthetic process, branched-chain amino acid biosynthetic process, lyase activity,;;leuD/sll1444 (mRNA / CDS) - TU1962;Chr
3;All Replicates;29.103;0.927;0.981;0.001;0.106;0.386;0.301;0.138;0.048;0.013;0.004;0;0.002;0;0;0;0;0;0;3;3.7052;1;3;Protein;Protein;200;sll1444;sll1444;leuD;TU1962;3-isopropylmalate dehydratase small subunit;3-isopropylmalate dehydratase activity, leucine biosynthetic process, 3-isopropylmalate dehydratase complex, cellular amino acid biosynthetic process, branched-chain amino acid biosynthetic process, lyase activity,;No_GO;leuD/sll1444 (Protein) - TU1962;Chr
10;All Replicates;4.603;0.719;0.954;0;0;0.005;0.05;0.059;0.193;0.187;0.095;0.084;0.081;0.092;0.056;0.048;0.023;0.012;0.015;6;8.4086;2;6, 11;RNA;mRNA;NA;sll1074;sll1074;leuS;TU805;leucyl-tRNA synthetase;leucyl-tRNA aminoacylation, cytosol, leucine-tRNA ligase activity, aminoacyl-tRNA metabolism involved in translational fidelity, nucleotide binding, aminoacyl-tRNA editing activity, aminoacyl-tRNA ligase activity, ATP binding, tRNA aminoacylation for protein translation, ligase activity, cytoplasm, translation,;;leuS/sll1074 (mRNA / CDS) - TU805;Chr
8;All Replicates;31.501;0.838;0.968;0;0;0;0.062;0.446;0.369;0.087;0.024;0.005;0.004;0.001;0;0;0.001;0;0;5;5.6132;1;5;Protein;Protein;869;sll1074;sll1074;leuS;TU805;leucyl-tRNA synthetase;leucyl-tRNA aminoacylation, cytosol, leucine-tRNA ligase activity, aminoacyl-tRNA metabolism involved in translational fidelity, nucleotide binding, aminoacyl-tRNA editing activity, aminoacyl-tRNA ligase activity, ATP binding, tRNA aminoacylation for protein translation, ligase activity, cytoplasm, translation,;Nucleotide;leuS/sll1074 (Protein) - TU805;Chr
10;All Replicates;4.82;0.68;-1;0;0;0.005;0.044;0.057;0.194;0.182;0.102;0.082;0.08;0.098;0.054;0.046;0.02;0.011;0.025;6;8.5143;2;6, 11;RNA;transcript;NA;sll1074, ssl2100;sll1074, ssl2100;leuS, ssl2100;TU805;leucyl-tRNA synthetase, unknown protein;transcript;;TU805 (sll1074, ssl2100) - Transcr Unit;Chr
10;All Replicates;8.524;0.927;0.987;0;0;0.001;0.009;0.097;0.242;0.321;0.119;0.046;0.047;0.04;0.025;0.016;0.011;0.013;0.013;7;7.6016;1;7;RNA;mRNA;NA;sll1626;sll1626;lexA;TU1352;LexA repressor;positive regulation of transcription, DNA-templated, negative regulation of transcription, DNA-templated, sequence-specific DNA binding, protein-DNA complex, DNA-binding transcription repressor activity, DNA-binding transcription activator activity, transcription regulatory region sequence-specific DNA binding, serine-type endopeptidase activity, proteolysis, SOS response, cytoplasm, DNA replication, DNA binding,;;lexA/sll1626 (mRNA / CDS) - TU1352;Chr
12;All Replicates;32.358;0.916;0.846;0;0.003;0.014;0.023;0.054;0.076;0.153;0.17;0.194;0.185;0.09;0.022;0.012;0.003;0.001;0.002;9;8.3839;1;9;Protein;Protein;203;sll1626;sll1626;lexA;TU1352;LexA repressor;positive regulation of transcription, DNA-templated, negative regulation of transcription, DNA-templated, sequence-specific DNA binding, protein-DNA complex, DNA-binding transcription repressor activity, DNA-binding transcription activator activity, transcription regulatory region sequence-specific DNA binding, serine-type endopeptidase activity, proteolysis, SOS response, cytoplasm, DNA replication, DNA binding,;DNA;lexA/sll1626 (Protein) - TU1352;Chr
10;All Replicates;5.88;0.898;0.974;0;0;0.001;0.043;0.136;0.255;0.303;0.104;0.048;0.04;0.031;0.018;0.006;0.002;0.01;0.002;7;7.041;1;7;RNA;3UTR;NA;sll1626-3UTR;sll1626;lexA;TU1352;LexA repressor;positive regulation of transcription, DNA-templated, negative regulation of transcription, DNA-templated, sequence-specific DNA binding, protein-DNA complex, DNA-binding transcription repressor activity, DNA-binding transcription activator activity, transcription regulatory region sequence-specific DNA binding, serine-type endopeptidase activity, proteolysis, SOS response, cytoplasm, DNA replication, DNA binding,;;sll1626-3UTR (3'UTR) - TU1352;Chr
10;All Replicates;2.789;0.62;0.895;0;0;0;0;0.064;0.157;0.203;0.125;0.109;0.153;0.053;0.049;0.041;0.046;0;0;7;8.5636;2;7, 10;RNA;5UTR;NA;sll1626-5UTR;sll1626;lexA;TU1352;LexA repressor;positive regulation of transcription, DNA-templated, negative regulation of transcription, DNA-templated, sequence-specific DNA binding, protein-DNA complex, DNA-binding transcription repressor activity, DNA-binding transcription activator activity, transcription regulatory region sequence-specific DNA binding, serine-type endopeptidase activity, proteolysis, SOS response, cytoplasm, DNA replication, DNA binding,;;sll1626-5UTR (5'UTR) - TU1352;Chr
10;All Replicates;2.945;0.568;0.711;0;0.002;0.036;0.075;0.025;0.209;0.129;0.082;0.133;0.188;0.046;0.015;0.028;0.033;0;0;6;7.954;3;4, 6, 10;RNA;mRNA;NA;sll1209;sll1209;lig;TU15;DNA ligase;base-excision repair, DNA ligation, cytosol, DNA ligase (NAD+) activity, DNA binding, DNA replication, DNA repair, metal ion binding, ligase activity, cellular response to DNA damage stimulus, DNA metabolic process,;;lig/sll1209 (mRNA / CDS) - TU15;Chr
7;All Replicates;29.125;0.81;0.983;0.001;0.001;0.016;0.258;0.522;0.169;0.016;0;0;0;0.004;0.005;0.001;0.001;0.002;0.004;5;5.0559;1;5;Protein;Protein;669;sll1209;sll1209;lig;TU15;DNA ligase;base-excision repair, DNA ligation, cytosol, DNA ligase (NAD+) activity, DNA binding, DNA replication, DNA repair, metal ion binding, ligase activity, cellular response to DNA damage stimulus, DNA metabolic process,;DNA;lig/sll1209 (Protein) - TU15;Chr
10;All Replicates;5.33;0.853;0.984;0;0;0.006;0.017;0.09;0.246;0.257;0.085;0.078;0.076;0.057;0.022;0.028;0.028;0.01;0;7;7.7826;1;7;RNA;mRNA;NA;sll1583;sll1583;lig;TU706;unknown protein;NA;;lig/sll1583 (mRNA / CDS) - TU706;Chr
7;All Replicates;32.061;0.97;0.935;0.003;0.023;0.075;0.282;0.243;0.187;0.105;0.044;0.015;0.01;0.005;0.003;0.001;0;0;0.002;4;5.2171;1;4;Protein;Protein;562;sll1583;sll1583;lig;TU706;unknown protein;NA;No_GO;lig/sll1583 (Protein) - TU706;Chr
10;All Replicates;2.694;0.746;0.885;0;0;0;0;0.038;0.387;0.237;0.15;0.048;0.03;0.047;0.004;0.044;0.008;0.006;0;6;7.462;1;6;RNA;5UTR;NA;sll1583-5UTR;sll1583;lig;TU706;unknown protein;NA;;sll1583-5UTR (5'UTR) - TU706;Chr
10;All Replicates;2.804;0.61;0.893;0;0;0.01;0.073;0.061;0.254;0.168;0.11;0.087;0.078;0.075;0.013;0.026;0.046;0;0;6;7.7368;2;4, 6;RNA;mRNA;NA;sll0626;sll0626;lim17;TU3523;putative neutral invertase;NA;;lim17/sll0626 (mRNA / CDS) - TU3523;Chr
10;All Replicates;26.934;0.802;0.846;0;0;0;0;0.03;0.316;0.52;0.109;0.014;0.01;0.001;0;0;0;0;0;7;6.7956;1;7;Protein;Protein;489;sll0626;sll0626;lim17;TU3523;putative neutral invertase;NA;No_GO;lim17/sll0626 (Protein) - TU3523;Chr
10;All Replicates;3.087;0.806;0.81;0;0;0.01;0.125;0.085;0.201;0.187;0.043;0.135;0.143;0.027;0.013;0.03;0;0;0;6;7.3072;3;4, 6, 10;RNA;mRNA;NA;slr1598;slr1598;lipA;TU448;lipoic acid synthetase;mitochondrion, catalytic activity, lipoate biosynthetic process, lipoate synthase activity, iron-sulfur cluster binding, 4 iron, 4 sulfur cluster binding, metal ion binding, cytoplasm, transferase activity, protein lipoylation, sulfurtransferase activity,;;lipA/slr1598 (mRNA / CDS) - TU448;Chr
3;All Replicates;24.931;0.759;0.984;0;0.004;0.376;0.456;0.117;0.02;0;0;0.017;0;0.009;0;0;0;0;0;4;3.9245;1;4;Protein;Protein;289;slr1598;slr1598;lipA;TU448;lipoic acid synthetase;mitochondrion, catalytic activity, lipoate biosynthetic process, lipoate synthase activity, iron-sulfur cluster binding, 4 iron, 4 sulfur cluster binding, metal ion binding, cytoplasm, transferase activity, protein lipoylation, sulfurtransferase activity,;No_GO;lipA/slr1598 (Protein) - TU448;Chr
10;All Replicates;2.377;0.508;0.795;0;0;0.029;0.05;0;0.131;0.231;0.063;0.141;0.12;0.131;0.009;0.063;0.032;0;0;7;8.4965;4;7, 9, 11, 13;RNA;mRNA;NA;slr0994;slr0994;lipB;;lipoate-protein ligase B;lipoyl(octanoyl) transferase activity, protein lipoylation, mitochondrion, cellular protein modification process, octanoyl transferase activity (acting on glycine-cleavage complex H protein), octanoyltransferase activity, cytoplasm, transferase activity, transferring acyl groups, transferase activity,;;lipB/slr0994 (mRNA / CDS);Chr
5;All Replicates;24.677;0.662;0.833;0;0.001;0.153;0.321;0.195;0.039;0;0;0;0;0;0.019;0;0.066;0.009;0.197;4;7.8363;3;4, 14.5, 18;Protein;Protein;227;slr0994;slr0994;lipB;;lipoate-protein ligase B;lipoyl(octanoyl) transferase activity, protein lipoylation, mitochondrion, cellular protein modification process, octanoyl transferase activity (acting on glycine-cleavage complex H protein), octanoyltransferase activity, cytoplasm, transferase activity, transferring acyl groups, transferase activity,;No_GO;lipB/slr0994 (Protein);Chr
10;All Replicates;3.418;0.409;0.337;0.003;0;0.007;0.021;0.062;0.063;0.097;0.051;0.151;0.182;0.09;0.07;0.024;0.013;0.014;0.154;10;10.387;3;7, 10, 18;RNA;mRNA;NA;sll0709;sll0709;llaI.2;TU97;putative endonuclease;NA;;llaI.2/sll0709 (mRNA / CDS) - TU97;Chr
6;All Replicates;24.878;0.527;0.825;0.011;0.01;0.008;0.233;0.157;0.102;0.16;0.057;0.008;0.009;0.028;0.045;0.082;0.032;0.015;0.042;4;7.5131;3;4, 7, 13;Protein;Protein;462;sll0709;sll0709;llaI.2;TU97;putative endonuclease;NA;No_GO;llaI.2/sll0709 (Protein) - TU97;Chr
10;All Replicates;2.224;0.384;0.654;0;0;0.012;0.052;0.037;0.018;0.229;0.131;0.1;0.127;0.117;0.049;0.021;0.024;0.084;0;7;9.2288;3;7, 10, 16.5;RNA;mRNA;NA;slr0862;slr0862;lmbP;TU1395;probable sugar kinase;NA;;lmbP/slr0862 (mRNA / CDS) - TU1395;Chr
7;All Replicates;27.21;0.787;0.994;0.002;0.006;0.022;0.321;0.477;0.133;0.032;0.004;0.001;0;0;0;0;0;0;0;5;4.8228;1;5;Protein;Protein;326;slr0862;slr0862;lmbP;TU1395;probable sugar kinase;NA;No_GO;lmbP/slr0862 (Protein) - TU1395;Chr
8;All Replicates;26.91;0.753;0.974;0;0;0.016;0.238;0.392;0.253;0.07;0.013;0.01;0.005;0.001;0.001;0.001;0;0;0.001;5;5.2631;1;5;Protein;Protein;295;sll0379;sll0379;lpxA;TU2847;acyl-[acyl-carrier-protein]--UDP-N-acetylglucosamine o-acyltransferase;lipid biosynthetic process, acyl-[acyl-carrier-protein]-UDP-N-acetylglucosamine O-acyltransferase activity, transferase activity, transferring acyl groups, lipid metabolic process, transferase activity, lipid A biosynthetic process, cytoplasm,;No_GO;lpxA/sll0379 (Protein) - TU2847;Chr
10;All Replicates;3.474;0.563;0.92;0;0;0.015;0.035;0.056;0.175;0.201;0.072;0.121;0.079;0.078;0.07;0.077;0.021;0;0;7;8.3783;3;7, 9, 13;RNA;mRNA;NA;slr0015;slr0015;lpxB;TU2592;lipid A disaccharide synthase;lipid A biosynthetic process, cytosol, phospholipid binding, lipid-A-disaccharide synthase activity, lipid metabolic process, transferase activity, transferring glycosyl groups, transferase activity,;;lpxB/slr0015 (mRNA / CDS) - TU2592;Chr
6;All Replicates;29.043;0.912;0.991;0;0.001;0.028;0.396;0.316;0.131;0.062;0.032;0.014;0.01;0.005;0.003;0;0;0;0.002;4;5.0778;1;4;Protein;Protein;394;slr0015;slr0015;lpxB;TU2592;lipid A disaccharide synthase;lipid A biosynthetic process, cytosol, phospholipid binding, lipid-A-disaccharide synthase activity, lipid metabolic process, transferase activity, transferring glycosyl groups, transferase activity,;No_GO;lpxB/slr0015 (Protein) - TU2592;Chr
10;All Replicates;2.477;0.39;0.659;0.001;0;0.007;0.009;0;0.121;0.166;0.082;0.117;0.192;0.062;0.048;0.054;0;0.047;0.094;10;10.0014;3;7, 10, 18;RNA;mRNA;NA;sll1508;sll1508;lpxC;;UDP-3-0-acyl N-acetylglcosamine deacetylase;UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase activity, lipid A biosynthetic process, UDP-3-O-acyl-N-acetylglucosamine deacetylase activity, lipid metabolic process, hydrolase activity, metal ion binding,;;lpxC/sll1508 (mRNA / CDS);Chr
5;All Replicates;28.318;0.734;0.989;0;0;0.037;0.632;0.237;0.055;0.016;0.021;0;0;0.001;0;0;0;0;0;4;4.4518;1;4;Protein;Protein;276;sll1508;sll1508;lpxC;;UDP-3-0-acyl N-acetylglcosamine deacetylase;UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase activity, lipid A biosynthetic process, UDP-3-O-acyl-N-acetylglucosamine deacetylase activity, lipid metabolic process, hydrolase activity, metal ion binding,;No_GO;lpxC/sll1508 (Protein);Chr
10;All Replicates;4.508;0.689;0.917;0;0.001;0.009;0.042;0.029;0.148;0.23;0.144;0.117;0.08;0.031;0.053;0.045;0.039;0.004;0.03;7;8.5516;1;7;RNA;mRNA;NA;slr0776;slr0776;lpxD;TU2497;UDP-3-o-[3-hydroxymyristoyl] glucosamine n-acyltransferase;lipid A biosynthetic process, N-acyltransferase activity, transferase activity, transferring acyl groups other than amino-acyl groups, transferase activity, transferring acyl groups, transferase activity, lipid metabolic process,;;lpxD/slr0776 (mRNA / CDS) - TU2497;Chr
10;All Replicates;26.732;0.796;0.852;0;0;0;0.025;0.086;0.549;0.272;0.047;0.01;0.006;0.003;0;0;0;0;0.001;6;6.3155;1;6;Protein;Protein;344;slr0776;slr0776;lpxD;TU2497;UDP-3-o-[3-hydroxymyristoyl] glucosamine n-acyltransferase;lipid A biosynthetic process, N-acyltransferase activity, transferase activity, transferring acyl groups other than amino-acyl groups, transferase activity, transferring acyl groups, transferase activity, lipid metabolic process,;No_GO;lpxD/slr0776 (Protein) - TU2497;Chr
10;All Replicates;7.948;0.9;0.977;0;0;0.001;0.008;0.112;0.269;0.353;0.105;0.037;0.036;0.032;0.014;0.012;0.005;0.008;0.009;7;7.2497;1;7;RNA;mRNA;NA;sll0947;sll0947;lrtA;TU2356;light repressed protein A homolog;negative regulation of translational elongation, ribosomal small subunit binding, ribosome binding, cytosolic small ribosomal subunit, primary metabolic process, cytoplasm, regulation of translation,;;lrtA/sll0947 (mRNA / CDS) - TU2356;Chr
5;All Replicates;32.103;0.969;0.945;0;0.016;0.188;0.376;0.235;0.093;0.05;0.022;0.012;0.006;0.002;0.001;0;0;0;0;4;4.5587;1;4;Protein;Protein;191;sll0947;sll0947;lrtA;TU2356;light repressed protein A homolog;negative regulation of translational elongation, ribosomal small subunit binding, ribosome binding, cytosolic small ribosomal subunit, primary metabolic process, cytoplasm, regulation of translation,;No_GO;lrtA/sll0947 (Protein) - TU2356;Chr
10;All Replicates;4.79;0.799;0.968;0.001;0;0.004;0.055;0.094;0.212;0.207;0.089;0.073;0.095;0.043;0.061;0.025;0.012;0.02;0.009;6;7.9367;2;6, 10;RNA;mRNA;NA;sll0504;sll0504;lysA;TU3378;diaminopimelate decarboxylase;lysine biosynthetic process via diaminopimelate, diaminopimelate decarboxylase activity, catalytic activity, lyase activity, carboxy-lyase activity, lysine biosynthetic process, cellular amino acid biosynthetic process, pyridoxal phosphate binding,;;lysA/sll0504 (mRNA / CDS) - TU3378;Chr
5;All Replicates;30.549;0.891;0.993;0;0.003;0.165;0.521;0.22;0.069;0.018;0.001;0.001;0.001;0.001;0;0;0;0;0;4;4.2642;1;4;Protein;Protein;469;sll0504;sll0504;lysA;TU3378;diaminopimelate decarboxylase;lysine biosynthetic process via diaminopimelate, diaminopimelate decarboxylase activity, catalytic activity, lyase activity, carboxy-lyase activity, lysine biosynthetic process, cellular amino acid biosynthetic process, pyridoxal phosphate binding,;No_GO;lysA/sll0504 (Protein) - TU3378;Chr
10;All Replicates;4.148;0.538;0.834;0;0;0.008;0.032;0.092;0.173;0.122;0.057;0.077;0.097;0.084;0.084;0.037;0.045;0.047;0.047;6;9.2973;2;6, 10;RNA;mRNA;NA;slr0657;slr0657;lysC;TU3516;aspartate kinase;NA;;lysC/slr0657 (mRNA / CDS) - TU3516;Chr
6;All Replicates;30.275;0.822;0.971;0.002;0.001;0.035;0.38;0.354;0.131;0.052;0.012;0.004;0.025;0.001;0;0;0;0.001;0.001;4;4.9885;1;4;Protein;Protein;600;slr0657;slr0657;lysC;TU3516;aspartate kinase;NA;No_GO;lysC/slr0657 (Protein) - TU3516;Chr
10;All Replicates;3.361;0.34;0.919;0;0.002;0.02;0.066;0.122;0.116;0.207;0.075;0.09;0.091;0.062;0.042;0.042;0.025;0;0.04;7;8.2081;3;5, 7, 10;RNA;mRNA;NA;slr1550;slr1550;lysS;TU1015;lysyl-tRNA synthetase;lysyl-tRNA aminoacylation, cytosol, lysine-tRNA ligase activity, tRNA binding, nucleotide binding, nucleic acid binding, aminoacyl-tRNA ligase activity, ATP binding, cytoplasm, tRNA aminoacylation for protein translation, translation, metal ion binding, ligase activity, magnesium ion binding,;;lysS/slr1550 (mRNA / CDS) - TU1015;Chr
8;All Replicates;29.972;0.646;0.994;0;0;0.001;0.158;0.449;0.271;0.067;0.011;0.001;0.003;0.002;0.002;0.002;0.026;0.005;0.001;5;5.6572;1;5;Protein;Protein;510;slr1550;slr1550;lysS;TU1015;lysyl-tRNA synthetase;lysyl-tRNA aminoacylation, cytosol, lysine-tRNA ligase activity, tRNA binding, nucleotide binding, nucleic acid binding, aminoacyl-tRNA ligase activity, ATP binding, cytoplasm, tRNA aminoacylation for protein translation, translation, metal ion binding, ligase activity, magnesium ion binding,;RNA;lysS/slr1550 (Protein) - TU1015;Chr
10;All Replicates;4.918;0.485;0.918;0;0;0.015;0.037;0.144;0.13;0.188;0.106;0.055;0.071;0.054;0.066;0.045;0.021;0.017;0.051;7;8.5163;4;5, 7, 10, 12;RNA;mRNA;NA;slr0191;slr0191;lytB;TU2876;amidase enhancer, periplasmic protein;NA;;lytB/slr0191 (mRNA / CDS) - TU2876;Chr
6;All Replicates;26.941;0.927;0.978;0;0;0.011;0.404;0.4;0.172;0.014;0;0;0;0;0;0;0;0;0;4;4.7744;1;4;Protein;Protein;535;slr0191;slr0191;lytB;TU2876;amidase enhancer, periplasmic protein;NA;No_GO;lytB/slr0191 (Protein) - TU2876;Chr
10;All Replicates;3.35;0.681;0.967;0;0;0.007;0.006;0.047;0.215;0.293;0.154;0.072;0.056;0.059;0.015;0.014;0.012;0;0.05;7;8.147;1;7;RNA;mRNA;NA;sll0905;sll0905;maf;TU2103;hypothetical protein;nucleoside-triphosphate diphosphatase activity, NADH pyrophosphatase activity, nucleotide diphosphatase activity, hydrolase activity, nucleotide metabolic process, cytoplasm, pyrophosphatase activity,;;maf/sll0905 (mRNA / CDS) - TU2103;Chr
3;All Replicates;25.545;0.732;0.986;0;0;0.535;0.385;0.066;0;0;0;0.013;0;0;0;0.001;0;0;0;3;3.6083;1;3;Protein;Protein;195;sll0905;sll0905;maf;TU2103;hypothetical protein;nucleoside-triphosphate diphosphatase activity, NADH pyrophosphatase activity, nucleotide diphosphatase activity, hydrolase activity, nucleotide metabolic process, cytoplasm, pyrophosphatase activity,;No_GO;maf/sll0905 (Protein) - TU2103;Chr
10;All Replicates;2.334;0.67;0.925;0;0;0;0;0.018;0.215;0.294;0.146;0.071;0.048;0.142;0.066;0;0;0;0;7;8.0713;2;7, 11;RNA;aRNA;NA;sll0905-as;sll0905;maf;;hypothetical protein;nucleoside-triphosphate diphosphatase activity, NADH pyrophosphatase activity, nucleotide diphosphatase activity, hydrolase activity, nucleotide metabolic process, cytoplasm, pyrophosphatase activity,;;sll0905-as (asRNA);Chr
10;All Replicates;2.571;0.637;0.911;0;0;0.028;0.052;0.032;0.217;0.226;0.095;0.145;0.105;0.021;0.028;0.044;0.007;0;0;7;7.6915;2;7, 9;RNA;mRNA;NA;slr1224;slr1224;malK;TU1049;ATP-binding protein of sugar ABC transporter;NA;;malK/slr1224 (mRNA / CDS) - TU1049;Chr
3;All Replicates;25.963;0.766;0.962;0.008;0.083;0.298;0.216;0.132;0.05;0.056;0.04;0.037;0.021;0.012;0.007;0.002;0.003;0.002;0.032;3;5.0476;1;3;Protein;Protein;408;slr1224;slr1224;malK;TU1049;ATP-binding protein of sugar ABC transporter;NA;No_GO;malK/slr1224 (Protein) - TU1049;Chr
10;All Replicates;1.999;0.785;0.892;0;0;0;0;0;0.246;0.229;0.153;0.084;0.032;0.072;0.089;0.061;0.034;0;0;6;8.5279;2;6, 12;RNA;aRNA;NA;slr1224-as2;slr1224;malK;;ATP-binding protein of sugar ABC transporter;NA;;slr1224-as2 (asRNA);Chr
10;All Replicates;4.354;0.583;0.978;0;0;0.006;0.027;0.081;0.15;0.243;0.088;0.068;0.078;0.074;0.042;0.054;0.016;0.027;0.046;7;8.7429;2;7, 10;RNA;mRNA;NA;sll1676;sll1676;malQ;TU231;4-alpha-glucanotransferase;glycogen metabolic process, 4-alpha-glucanotransferase activity, carbohydrate metabolic process, beta-maltose 4-alpha-glucanotransferase activity, transferase activity, transferring glycosyl groups, cytoplasm, transferase activity,;;malQ/sll1676 (mRNA / CDS) - TU231;Chr
10;All Replicates;30.096;0.767;0.886;0.001;0;0;0.002;0.15;0.518;0.263;0.048;0.009;0.007;0.001;0;0;0;0;0;6;6.2612;1;6;Protein;Protein;505;sll1676;sll1676;malQ;TU231;4-alpha-glucanotransferase;glycogen metabolic process, 4-alpha-glucanotransferase activity, carbohydrate metabolic process, beta-maltose 4-alpha-glucanotransferase activity, transferase activity, transferring glycosyl groups, cytoplasm, transferase activity,;No_GO;malQ/sll1676 (Protein) - TU231;Chr
10;All Replicates;2.542;0.527;0.903;0.001;0.002;0.018;0;0.033;0.286;0.246;0.05;0.048;0.082;0.058;0.042;0.089;0.037;0.01;0;6;8.2974;3;6, 10, 13;RNA;mRNA;NA;slr2074;slr2074;manA;TU920;similar to mannose-1-phosphate guanylyltransferase;NA;;manA/slr2074 (mRNA / CDS) - TU920;Chr
2;All Replicates;29.023;0.906;0.988;0.002;0.191;0.525;0.237;0.037;0.006;0.002;0;0;0;0;0;0;0;0;0;3;3.1412;1;3;Protein;Protein;129;slr2074;slr2074;manA;TU920;similar to mannose-1-phosphate guanylyltransferase;NA;No_GO;manA/slr2074 (Protein) - TU920;Chr
10;All Replicates;3.607;0.65;0.966;0;0;0.002;0.061;0.081;0.253;0.291;0.062;0.08;0.05;0.032;0.045;0.035;0.006;0;0;7;7.3716;2;7, 9;RNA;mRNA;NA;slr0918;slr0918;map;TU2937;methionine aminopeptidase;aminopeptidase activity, proteolysis, metalloexopeptidase activity, metal ion binding, hydrolase activity, peptidase activity, protein initiator methionine removal, metalloaminopeptidase activity,;;map/slr0918 (mRNA / CDS) - TU2937;Chr
3;All Replicates;23.537;0.757;0.976;0;0.122;0.399;0.425;0.04;0;0;0.006;0;0;0;0;0;0;0;0.007;4;3.5151;1;4;Protein;Protein;253;slr0918;slr0918;map;TU2937;methionine aminopeptidase;aminopeptidase activity, proteolysis, metalloexopeptidase activity, metal ion binding, hydrolase activity, peptidase activity, protein initiator methionine removal, metalloaminopeptidase activity,;No_GO;map/slr0918 (Protein) - TU2937;Chr
10;All Replicates;1.889;0.401;0.794;0;0;0.02;0.032;0.045;0.07;0.247;0.117;0.154;0.138;0.074;0.017;0.036;0.013;0.038;0;7;8.5523;2;7, 9;RNA;mRNA;NA;sll1005;sll1005;mazG;;MazG protein homolog;nucleoside-triphosphate diphosphatase activity, dUTP catabolic process, dTTP catabolic process, dATP catabolic process, UTP catabolic process, TTP catabolic process, dGTP catabolic process,;;sll1005 (mRNA / CDS);Chr
7;All Replicates;23.711;0.705;0.863;0;0;0;0.223;0.426;0.111;0;0;0.239;0;0;0;0;0;0;0;5;5.845;2;5, 9;Protein;Protein;269;sll1005;sll1005;mazG;;MazG protein homolog;nucleoside-triphosphate diphosphatase activity, dUTP catabolic process, dTTP catabolic process, dATP catabolic process, UTP catabolic process, TTP catabolic process, dGTP catabolic process,;No_GO;mazG/sll1005 (Protein);Chr
