locustag;genename;annotation;KEGG Orthology;database;MainCategory;MainPathway;Category;undefined;Pathway;Complex/Type;Details;Summary
sll1987;cpx, katG;"sll1987 katG; catalase hpi";"K03782 katG; catalase-peroxidase [EC:1.11.1.21]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00360;Amino acid metabolism;Phenylalanine metabolism;;Metabolism - Amino acid metabolism - Phenylalanine metabolism
sll1987;cpx, katG;"sll1987 katG; catalase hpi";"K03782 katG; catalase-peroxidase [EC:1.11.1.21]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00380;Amino acid metabolism;Tryptophan metabolism;;Metabolism - Amino acid metabolism - Tryptophan metabolism
slr0032;ilvE;"slr0032 ilvE; branched-chain amino acid aminotransferase";"K00826 E2.6.1.42; branched-chain amino acid aminotransferase [EC:2.6.1.42]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00270;Amino acid metabolism;Cysteine and methionine metabolism;;Metabolism - Amino acid metabolism - Cysteine and methionine metabolism
slr0032;ilvE;"slr0032 ilvE; branched-chain amino acid aminotransferase";"K00826 E2.6.1.42; branched-chain amino acid aminotransferase [EC:2.6.1.42]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00290;Amino acid metabolism;Valine leucine and isoleucine biosynthesis;;Metabolism - Amino acid metabolism - Valine leucine and isoleucine biosynthesis
slr0032;ilvE;"slr0032 ilvE; branched-chain amino acid aminotransferase";"K00826 E2.6.1.42; branched-chain amino acid aminotransferase [EC:2.6.1.42]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00280;Amino acid metabolism;Valine leucine and isoleucine degradation;;Metabolism - Amino acid metabolism - Valine leucine and isoleucine degradation
slr0049;NA;slr0049 unknown protein;"K00290 LYS1; saccharopine dehydrogenase (NAD+, L-lysine forming) [EC:1.5.1.7]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00300;Amino acid metabolism;Lysine biosynthesis;;Metabolism - Amino acid metabolism - Lysine biosynthesis
slr0049;NA;slr0049 unknown protein;"K00290 LYS1; saccharopine dehydrogenase (NAD+, L-lysine forming) [EC:1.5.1.7]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00310;Amino acid metabolism;Lysine degradation;;Metabolism - Amino acid metabolism - Lysine degradation
slr0055;trpG;"slr0055 trpG; anthranilate synthase component II";"K01658 trpG; anthranilate synthase component II [EC:4.1.3.27]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00400;Amino acid metabolism;Phenylalanine tyrosine and tryptophan biosynthesis;;Metabolism - Amino acid metabolism - Phenylalanine tyrosine and tryptophan biosynthesis
slr0084;hisH;"slr0084 hisH; N-acetyl-glutamate-gamma-semialdehyde dehydrogenase";"K02501 hisH; imidazole glycerol-phosphate synthase subunit HisH [EC:4.3.2.10]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00340;Amino acid metabolism;Histidine metabolism;;Metabolism - Amino acid metabolism - Histidine metabolism
slr0090;ppd;"slr0090 ppd; 4-hydroxyphenylpyruvic acid dioxgenase";"K00457 HPD; 4-hydroxyphenylpyruvate dioxygenase [EC:1.13.11.27]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00360;Amino acid metabolism;Phenylalanine metabolism;;Metabolism - Amino acid metabolism - Phenylalanine metabolism
slr0090;ppd;"slr0090 ppd; 4-hydroxyphenylpyruvic acid dioxgenase";"K00457 HPD; 4-hydroxyphenylpyruvate dioxygenase [EC:1.13.11.27]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00350;Amino acid metabolism;Tyrosine metabolism;;Metabolism - Amino acid metabolism - Tyrosine metabolism
slr0091;;slr0091 aldehyde dehydrogenase;"K00128 ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00330;Amino acid metabolism;Arginine and proline metabolism;;Metabolism - Amino acid metabolism - Arginine and proline metabolism
slr0091;;slr0091 aldehyde dehydrogenase;"K00128 ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00340;Amino acid metabolism;Histidine metabolism;;Metabolism - Amino acid metabolism - Histidine metabolism
slr0091;;slr0091 aldehyde dehydrogenase;"K00128 ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00310;Amino acid metabolism;Lysine degradation;;Metabolism - Amino acid metabolism - Lysine degradation
slr0091;;slr0091 aldehyde dehydrogenase;"K00128 ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00380;Amino acid metabolism;Tryptophan metabolism;;Metabolism - Amino acid metabolism - Tryptophan metabolism
slr0091;;slr0091 aldehyde dehydrogenase;"K00128 ALDH; aldehyde dehydrogenase (NAD+) [EC:1.2.1.3]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00280;Amino acid metabolism;Valine leucine and isoleucine degradation;;Metabolism - Amino acid metabolism - Valine leucine and isoleucine degradation
slr0186;leuA;"slr0186 leuA; 2-isopropylmalate synthase";"K01649 leuA; 2-isopropylmalate synthase [EC:2.3.3.13]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00290;Amino acid metabolism;Valine leucine and isoleucine biosynthesis;;Metabolism - Amino acid metabolism - Valine leucine and isoleucine biosynthesis
slr0212;metH;"slr0212 metH; 5-methyltetrahydrofolate--homocysteine methyltransferase";"K00548 metH; 5-methyltetrahydrofolate--homocysteine methyltransferase [EC:2.1.1.13]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00270;Amino acid metabolism;Cysteine and methionine metabolism;;Metabolism - Amino acid metabolism - Cysteine and methionine metabolism
slr0214;;slr0214 cytosine-specific methyltransferase;"K00558 DNMT1; DNA (cytosine-5)-methyltransferase 1 [EC:2.1.1.37]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00270;Amino acid metabolism;Cysteine and methionine metabolism;;Metabolism - Amino acid metabolism - Cysteine and methionine metabolism
slr0229;mmsB;"slr0229 mmsB; 3-hydroxyisobutyrate dehydrogenase";"K00020 HIBADH; 3-hydroxyisobutyrate dehydrogenase [EC:1.1.1.31]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00280;Amino acid metabolism;Valine leucine and isoleucine degradation;;Metabolism - Amino acid metabolism - Valine leucine and isoleucine degradation
slr0288;glnN;"slr0288 glnN; glutamate--ammonia ligase";"K01915 glnA; glutamine synthetase [EC:6.3.1.2]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00250;Amino acid metabolism;Alanine aspartate and glutamate metabolism;;Metabolism - Amino acid metabolism - Alanine aspartate and glutamate metabolism
slr0288;glnN;"slr0288 glnN; glutamate--ammonia ligase";"K01915 glnA; glutamine synthetase [EC:6.3.1.2]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00220;Amino acid metabolism;Arginine biosynthesis;;Metabolism - Amino acid metabolism - Arginine biosynthesis
slr0293;gcvP;"slr0293 gcvP; P protein of glycine cleavage complex";"K00281 GLDC; glycine dehydrogenase [EC:1.4.4.2]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00260;Amino acid metabolism;Glycine serine and threonine metabolism;;Metabolism - Amino acid metabolism - Glycine serine and threonine metabolism
slr0370;gabD;"slr0370 gabD; succinate-semialdehyde dehydrogenase (NADP+)";"K00135 gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00250;Amino acid metabolism;Alanine aspartate and glutamate metabolism;;Metabolism - Amino acid metabolism - Alanine aspartate and glutamate metabolism
slr0370;gabD;"slr0370 gabD; succinate-semialdehyde dehydrogenase (NADP+)";"K00135 gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00310;Amino acid metabolism;Lysine degradation;;Metabolism - Amino acid metabolism - Lysine degradation
slr0370;gabD;"slr0370 gabD; succinate-semialdehyde dehydrogenase (NADP+)";"K00135 gabD; succinate-semialdehyde dehydrogenase / glutarate-semialdehyde dehydrogenase [EC:1.2.1.16 1.2.1.79 1.2.1.20]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00350;Amino acid metabolism;Tyrosine metabolism;;Metabolism - Amino acid metabolism - Tyrosine metabolism
slr0444;aroA;"slr0444 aroA; 3-phosphoshikimate 1-carboxyvinyltransferase";"K00800 aroA; 3-phosphoshikimate 1-carboxyvinyltransferase [EC:2.5.1.19]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00400;Amino acid metabolism;Phenylalanine tyrosine and tryptophan biosynthesis;;Metabolism - Amino acid metabolism - Phenylalanine tyrosine and tryptophan biosynthesis
slr0452;ilvD;"slr0452 ilvD; dihydroxyacid dehydratase";"K01687 ilvD; dihydroxy-acid dehydratase [EC:4.2.1.9]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00290;Amino acid metabolism;Valine leucine and isoleucine biosynthesis;;Metabolism - Amino acid metabolism - Valine leucine and isoleucine biosynthesis
slr0500;hisB;"slr0500 hisB; imidazoleglycerol-phosphate dehydratase";"K01693 hisB; imidazoleglycerol-phosphate dehydratase [EC:4.2.1.19]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00340;Amino acid metabolism;Histidine metabolism;;Metabolism - Amino acid metabolism - Histidine metabolism
slr0520;purL;"slr0520 purL; phosphoribosyl formylglycinamidine synthase";"K23265 purQ; phosphoribosylformylglycinamidine synthase subunit PurQ / glutaminase [EC:6.3.5.3 3.5.1.2]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00250;Amino acid metabolism;Alanine aspartate and glutamate metabolism;;Metabolism - Amino acid metabolism - Alanine aspartate and glutamate metabolism
slr0520;purL;"slr0520 purL; phosphoribosyl formylglycinamidine synthase";"K23265 purQ; phosphoribosylformylglycinamidine synthase subunit PurQ / glutaminase [EC:6.3.5.3 3.5.1.2]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00220;Amino acid metabolism;Arginine biosynthesis;;Metabolism - Amino acid metabolism - Arginine biosynthesis
slr0528;murE;"slr0528 murE; UDP-MurNac-tripeptide synthetase";"K01928 murE; UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase [EC:6.3.2.13]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00300;Amino acid metabolism;Lysine biosynthesis;;Metabolism - Amino acid metabolism - Lysine biosynthesis
slr0543;trpB;"slr0543 trpB; tryptophan synthase beta subunit";"K01696 trpB; tryptophan synthase beta chain [EC:4.2.1.20]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00260;Amino acid metabolism;Glycine serine and threonine metabolism;;Metabolism - Amino acid metabolism - Glycine serine and threonine metabolism
slr0543;trpB;"slr0543 trpB; tryptophan synthase beta subunit";"K01696 trpB; tryptophan synthase beta chain [EC:4.2.1.20]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00400;Amino acid metabolism;Phenylalanine tyrosine and tryptophan biosynthesis;;Metabolism - Amino acid metabolism - Phenylalanine tyrosine and tryptophan biosynthesis
slr0546;trpC;"slr0546 trpC; indole-3-glycerol phosphate synthase";"K01609 trpC; indole-3-glycerol phosphate synthase [EC:4.1.1.48]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00400;Amino acid metabolism;Phenylalanine tyrosine and tryptophan biosynthesis;;Metabolism - Amino acid metabolism - Phenylalanine tyrosine and tryptophan biosynthesis
slr0549;asd;"slr0549 asd; aspartate beta-semialdehyde dehydrogenese";"K00133 asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00270;Amino acid metabolism;Cysteine and methionine metabolism;;Metabolism - Amino acid metabolism - Cysteine and methionine metabolism
slr0549;asd;"slr0549 asd; aspartate beta-semialdehyde dehydrogenese";"K00133 asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00260;Amino acid metabolism;Glycine serine and threonine metabolism;;Metabolism - Amino acid metabolism - Glycine serine and threonine metabolism
slr0549;asd;"slr0549 asd; aspartate beta-semialdehyde dehydrogenese";"K00133 asd; aspartate-semialdehyde dehydrogenase [EC:1.2.1.11]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00300;Amino acid metabolism;Lysine biosynthesis;;Metabolism - Amino acid metabolism - Lysine biosynthesis
slr0550;dapA;"slr0550 dapA; dihydrodipicolinate synthase";"K01714 dapA; 4-hydroxy-tetrahydrodipicolinate synthase [EC:4.3.3.7]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00300;Amino acid metabolism;Lysine biosynthesis;;Metabolism - Amino acid metabolism - Lysine biosynthesis
slr0585;argG;"slr0585 argG; argininosuccinate synthetase";"K01940 argG; argininosuccinate synthase [EC:6.3.4.5]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00250;Amino acid metabolism;Alanine aspartate and glutamate metabolism;;Metabolism - Amino acid metabolism - Alanine aspartate and glutamate metabolism
slr0585;argG;"slr0585 argG; argininosuccinate synthetase";"K01940 argG; argininosuccinate synthase [EC:6.3.4.5]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00220;Amino acid metabolism;Arginine biosynthesis;;Metabolism - Amino acid metabolism - Arginine biosynthesis
slr0596;NA;slr0596 creatinine amidohydrolase;"K01470 E3.5.2.10; creatinine amidohydrolase [EC:3.5.2.10]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00330;Amino acid metabolism;Arginine and proline metabolism;;Metabolism - Amino acid metabolism - Arginine and proline metabolism
slr0608;hisIE;"slr0608 hisI; phosphoribosyl-ATP pyrophosphohydrolase:phosphoribosyl-AMP cyclohydrolase";"K11755 hisIE; phosphoribosyl-AMP cyclohydrolase / phosphoribosyl-ATP pyrophosphohydrolase [EC:3.5.4.19 3.6.1.31]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00340;Amino acid metabolism;Histidine metabolism;;Metabolism - Amino acid metabolism - Histidine metabolism
slr0652;hisA;"slr0652 hisA; phosphorybosilformimino-5-amino-phosphorybosil-4-imidazolecarboxamideisomerase";"K01814 hisA; phosphoribosylformimino-5-aminoimidazole carboxamide ribotide isomerase [EC:5.3.1.16]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00340;Amino acid metabolism;Histidine metabolism;;Metabolism - Amino acid metabolism - Histidine metabolism
slr0657;lysC;"slr0657 lysC; aspartate kinase";"K00928 lysC; aspartate kinase [EC:2.7.2.4]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00270;Amino acid metabolism;Cysteine and methionine metabolism;;Metabolism - Amino acid metabolism - Cysteine and methionine metabolism
slr0657;lysC;"slr0657 lysC; aspartate kinase";"K00928 lysC; aspartate kinase [EC:2.7.2.4]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00260;Amino acid metabolism;Glycine serine and threonine metabolism;;Metabolism - Amino acid metabolism - Glycine serine and threonine metabolism
slr0657;lysC;"slr0657 lysC; aspartate kinase";"K00928 lysC; aspartate kinase [EC:2.7.2.4]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00300;Amino acid metabolism;Lysine biosynthesis;;Metabolism - Amino acid metabolism - Lysine biosynthesis
slr0661;proC;"slr0661 proC; pyrroline carboxylate reductase";"K00286 proC; pyrroline-5-carboxylate reductase [EC:1.5.1.2]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00330;Amino acid metabolism;Arginine and proline metabolism;;Metabolism - Amino acid metabolism - Arginine and proline metabolism
slr0662;NA;"slr0662 speA; arginine decarboxylase";"K01585 speA; arginine decarboxylase [EC:4.1.1.19]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00330;Amino acid metabolism;Arginine and proline metabolism;;Metabolism - Amino acid metabolism - Arginine and proline metabolism
slr0682;hisD;"slr0682 hisD; histidinol dehydrogenase";"K00013 hisD; histidinol dehydrogenase [EC:1.1.1.23]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00340;Amino acid metabolism;Histidine metabolism;;Metabolism - Amino acid metabolism - Histidine metabolism
slr0689;NA;slr0689 hypothetical protein;"K23975 E2.8.1.16; L-aspartate semialdehyde sulfurtransferase [EC:2.8.1.16]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00270;Amino acid metabolism;Cysteine and methionine metabolism;;Metabolism - Amino acid metabolism - Cysteine and methionine metabolism
slr0710;gdhA;"slr0710 gdhA; glutamate dehydrogenase (NADP+)";"K00262 E1.4.1.4; glutamate dehydrogenase (NADP+) [EC:1.4.1.4]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00250;Amino acid metabolism;Alanine aspartate and glutamate metabolism;;Metabolism - Amino acid metabolism - Alanine aspartate and glutamate metabolism
slr0710;gdhA;"slr0710 gdhA; glutamate dehydrogenase (NADP+)";"K00262 E1.4.1.4; glutamate dehydrogenase (NADP+) [EC:1.4.1.4]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00220;Amino acid metabolism;Arginine biosynthesis;;Metabolism - Amino acid metabolism - Arginine biosynthesis
slr0738;trpE;"slr0738 trpE; anthranilate synthetase alpha-subunit";"K01657 trpE; anthranilate synthase component I [EC:4.1.3.27]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00400;Amino acid metabolism;Phenylalanine tyrosine and tryptophan biosynthesis;;Metabolism - Amino acid metabolism - Phenylalanine tyrosine and tryptophan biosynthesis
slr0879;gcvH;"slr0879 gcvH; glycine decarboxylase complex H-protein";"K02437 gcvH; glycine cleavage system H protein";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00260;Amino acid metabolism;Glycine serine and threonine metabolism;;Metabolism - Amino acid metabolism - Glycine serine and threonine metabolism
slr0966;trpA;"slr0966 trpA; tryptophan synthase alpha chain";"K01695 trpA; tryptophan synthase alpha chain [EC:4.2.1.20]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00260;Amino acid metabolism;Glycine serine and threonine metabolism;;Metabolism - Amino acid metabolism - Glycine serine and threonine metabolism
slr0966;trpA;"slr0966 trpA; tryptophan synthase alpha chain";"K01695 trpA; tryptophan synthase alpha chain [EC:4.2.1.20]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00400;Amino acid metabolism;Phenylalanine tyrosine and tryptophan biosynthesis;;Metabolism - Amino acid metabolism - Phenylalanine tyrosine and tryptophan biosynthesis
slr1022;argD;"slr1022 argD; N-acetylornithine aminotransferase";"K00821 argD; acetylornithine/N-succinyldiaminopimelate aminotransferase [EC:2.6.1.11 2.6.1.17]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00220;Amino acid metabolism;Arginine biosynthesis;;Metabolism - Amino acid metabolism - Arginine biosynthesis
slr1022;argD;"slr1022 argD; N-acetylornithine aminotransferase";"K00821 argD; acetylornithine/N-succinyldiaminopimelate aminotransferase [EC:2.6.1.11 2.6.1.17]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00300;Amino acid metabolism;Lysine biosynthesis;;Metabolism - Amino acid metabolism - Lysine biosynthesis
slr1096;phdD;"slr1096 phdD; dihydrolipoamide dehydrogenase";"K00382 DLD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00260;Amino acid metabolism;Glycine serine and threonine metabolism;;Metabolism - Amino acid metabolism - Glycine serine and threonine metabolism
slr1096;phdD;"slr1096 phdD; dihydrolipoamide dehydrogenase";"K00382 DLD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00310;Amino acid metabolism;Lysine degradation;;Metabolism - Amino acid metabolism - Lysine degradation
slr1096;phdD;"slr1096 phdD; dihydrolipoamide dehydrogenase";"K00382 DLD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00380;Amino acid metabolism;Tryptophan metabolism;;Metabolism - Amino acid metabolism - Tryptophan metabolism
slr1096;phdD;"slr1096 phdD; dihydrolipoamide dehydrogenase";"K00382 DLD; dihydrolipoamide dehydrogenase [EC:1.8.1.4]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00280;Amino acid metabolism;Valine leucine and isoleucine degradation;;Metabolism - Amino acid metabolism - Valine leucine and isoleucine degradation
slr1124;gpmB;"slr1124 gpmB; phosphoglycerate mutase";"K22305 psp; phosphoserine phosphatase [EC:3.1.3.3]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00260;Amino acid metabolism;Glycine serine and threonine metabolism;;Metabolism - Amino acid metabolism - Glycine serine and threonine metabolism
slr1133;argH;"slr1133 argH; L-argininosuccinate lyase";"K01755 argH; argininosuccinate lyase [EC:4.3.2.1]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00250;Amino acid metabolism;Alanine aspartate and glutamate metabolism;;Metabolism - Amino acid metabolism - Alanine aspartate and glutamate metabolism
slr1133;argH;"slr1133 argH; L-argininosuccinate lyase";"K01755 argH; argininosuccinate lyase [EC:4.3.2.1]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00220;Amino acid metabolism;Arginine biosynthesis;;Metabolism - Amino acid metabolism - Arginine biosynthesis
slr1237;codA;"slr1237 codA; cytosine deaminase";"K01485 codA; cytosine/creatinine deaminase [EC:3.5.4.1 3.5.4.21]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00330;Amino acid metabolism;Arginine and proline metabolism;;Metabolism - Amino acid metabolism - Arginine and proline metabolism
slr1238;gshB;"slr1238 gshB; glutathione synthetase";"K01920 gshB; glutathione synthase [EC:6.3.2.3]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00270;Amino acid metabolism;Cysteine and methionine metabolism;;Metabolism - Amino acid metabolism - Cysteine and methionine metabolism
slr1256;ureA;"slr1256 ureA; urease gamma subunit";"K01430 ureA; urease subunit gamma [EC:3.5.1.5]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00220;Amino acid metabolism;Arginine biosynthesis;;Metabolism - Amino acid metabolism - Arginine biosynthesis
slr1312;NA;"slr1312 speA; arginine decarboxylase";"K01585 speA; arginine decarboxylase [EC:4.1.1.19]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00330;Amino acid metabolism;Arginine and proline metabolism;;Metabolism - Amino acid metabolism - Arginine and proline metabolism
slr1348;cysE;"slr1348 cysE; serine acetyltransferase";"K00640 cysE; serine O-acetyltransferase [EC:2.3.1.30]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00270;Amino acid metabolism;Cysteine and methionine metabolism;;Metabolism - Amino acid metabolism - Cysteine and methionine metabolism
slr1351;murF;"slr1351 murF; UDP-N-acetylmuramoylalanyl-D-glutamyl-2,6-diamino-pimelate-D-alanyl-D-alanine ligase";"K01929 murF; UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D-alanine ligase [EC:6.3.2.10]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00300;Amino acid metabolism;Lysine biosynthesis;;Metabolism - Amino acid metabolism - Lysine biosynthesis
slr1476;pyrB;"slr1476 pyrB; aspartate carbamoyltransferase";"K00609 pyrB; aspartate carbamoyltransferase catalytic subunit [EC:2.1.3.2]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00250;Amino acid metabolism;Alanine aspartate and glutamate metabolism;;Metabolism - Amino acid metabolism - Alanine aspartate and glutamate metabolism
slr1517;leuB;"slr1517 leuB; 3-isopropylmalate dehydrogenase";"K00052 leuB; 3-isopropylmalate dehydrogenase [EC:1.1.1.85]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00290;Amino acid metabolism;Valine leucine and isoleucine biosynthesis;;Metabolism - Amino acid metabolism - Valine leucine and isoleucine biosynthesis
slr1559;aroE;"slr1559 aroE; shikimate 5-dehydrogenase";"K00014 aroE; shikimate dehydrogenase [EC:1.1.1.25]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00400;Amino acid metabolism;Phenylalanine tyrosine and tryptophan biosynthesis;;Metabolism - Amino acid metabolism - Phenylalanine tyrosine and tryptophan biosynthesis
slr1560;hisS;"slr1560 hisS; histidyl tRNA synthetase";"K02502 hisZ; ATP phosphoribosyltransferase regulatory subunit";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00340;Amino acid metabolism;Histidine metabolism;;Metabolism - Amino acid metabolism - Histidine metabolism
slr1616;NA;slr1616 unknown protein;"K01955 carB; carbamoyl-phosphate synthase large subunit [EC:6.3.5.5]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00250;Amino acid metabolism;Alanine aspartate and glutamate metabolism;;Metabolism - Amino acid metabolism - Alanine aspartate and glutamate metabolism
slr1665;dapF;"slr1665 dapF; diaminopimelate epimerase";"K01778 dapF; diaminopimelate epimerase [EC:5.1.1.7]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00300;Amino acid metabolism;Lysine biosynthesis;;Metabolism - Amino acid metabolism - Lysine biosynthesis
slr1705;aspA;"slr1705 aspA; aspartoacylase, ASP";"K01437 ASPA; aspartoacylase [EC:3.5.1.15]";syn00001 KEGG Orthology;Metabolism;Amino acid metabolism;Metabolism;PATH:syn00250;Amino acid metabolism;Alanine aspartate and glutamate metabolism;;Metabolism - Amino acid metabolism - Alanine aspartate and glutamate metabolism
